id	fr	de	file_name
395	La soupe est chaude.	Die Suppe ist heiß.	a1_15
396	Le café est froid.	Der Kaffee ist kalt.	a1_15
397	Le livre est intéressant.	Das Buch ist interessant.	a1_15
398	La tâche est difficile.	Die Aufgabe ist schwer.	a1_15
399	Le film est ennuyeux.	Der Film ist langweilig.	a1_15
400	L'enfant est fatigué.	Das Kind ist müde.	a1_15
401	Le nom de cet homme de grande taille est Pierre.	Der große Mann heißt Peter.	a1_15
402	Cette magnifique ville s'appelle Heidelberg.	Die schöne Stadt heißt Heidelberg.	a1_15
403	La vieille maison est située au bord du lac.	Das alte Haus steht am See.	a1_15
404	Un petit chien joue dans le jardin.	Ein kleiner Hund spielt im Garten.	a1_15
405	Une jeune femme lit un livre.	Eine junge Frau liest ein Buch.	a1_15
406	Un livre intéressant est posé sur la table.	Ein interessantes Buch liegt auf dem Tisch.	a1_15
407	Le nouveau professeur est très gentil.	Der neue Lehrer ist sehr nett.	a1_15
408	La vieille dame marche lentement.	Die alte Dame geht langsam.	a1_15
409	La voiture rouge est rapide.	Das rote Auto ist schnell.	a1_15
410	Une journée froide commence.	Ein kalter Tag beginnt.	a1_15
411	Je bois du thé chaud.	Ich trinke heißen Tee.	a1_15
412	Il achète du pain frais.	Er kauft frisches Brot.	a1_15
413	Elle lit un bon livre.	Sie liest ein gutes Buch.	a1_15
414	Nous regardons un beau film.	Wir sehen einen schönen Film.	a1_15
415	C'est encore loin.	Das ist ein langer Weg.	a1_15
416	Elle porte une robe bleue.	Sie trägt ein blaues Kleid.	a1_15
417	Le petit enfant dort.	Das kleine Kind schläft.	a1_15
418	Il a les cheveux courts et les yeux bleus.	Er hat kurze Haare und blaue Augen.	a1_15
419	Il y a un parc dans ma ville.	Es gibt einen Park in meiner Stadt.	a1_16
420	Il y a beaucoup de cafés ici.	Es gibt viele Cafés hier.	a1_16
421	Il n'y a pas d'hôtel dans ce village.	Es gibt kein Hotel in diesem Dorf.	a1_16
422	Il y a trois écoles dans cette ville.	Es gibt drei Schulen in dieser Stadt.	a1_16
423	Y a-t-il un restaurant ici ?	Gibt es hier ein Restaurant?	a1_16
424	J'apprends l'allemand et l'anglais.	Ich lerne Deutsch und Englisch.	a1_16
425	Il cuisine et elle fait le ménage.	Er kocht und sie putzt.	a1_16
426	Nous mangeons et buvons ensemble.	Wir essen und trinken zusammen.	a1_16
427	Je suis fatigué(e), mais je continue d'apprendre.	Ich bin müde, aber ich lerne weiter.	a1_16
428	Il a faim, mais il ne mange pas.	Er hat Hunger, aber er isst nicht.	a1_16
429	Elle est jeune, mais elle est très intelligente.	Sie ist jung, aber sie ist sehr klug.	a1_16
430	Vous venez avec nous ou vous restez ici ?	Kommst du mit oder bleibst du hier?	a1_16
431	Buvez-vous du café ou du thé ?	Trinken Sie Kaffee oder Tee?	a1_16
432	Vous voyagez en bus ou en train ?	Fährst du mit dem Bus oder mit dem Zug?	a1_16
433	J'aime les chats, mais je n'en ai pas.	Ich mag Katzen, aber ich habe keine.	a1_16
434	Il ne vient pas parce qu'il est malade.	Er kommt nicht, denn er ist krank.	a1_16
435	Je reste à la maison parce qu'il pleut.	Ich bleibe zu Hause, denn es regnet.	a1_16
436	Elle étudie beaucoup parce qu'elle a un examen.	Sie lernt viel, denn sie hat eine Prüfung.	a1_16
437	Il y a ici une gare et un aéroport.	Es gibt hier einen Bahnhof und einen Flughafen.	a1_16
438	Je bois du café, mais pas de bière.	Ich trinke Kaffee, aber kein Bier.	a1_16
439	Il n'y a pas école aujourd'hui.	Es gibt heute keine Schule.	a1_16
440	Il lit et elle écrit.	Er liest und sie schreibt.	a1_16
441	Il existe de nombreuses possibilités.	Es gibt viele Möglichkeiten.	a1_16
442	Soit je pars, soit je reste – je ne sais pas encore.	Ich gehe, oder ich bleibe - ich weiß noch nicht.	a1_16
443	Je suis fatiguée, mais heureuse.	Ich bin müde, aber glücklich.	a1_16
444	Il y a du pain frais à la boulangerie.	Es gibt frisches Brot beim Bäcker.	a1_16
445	Il n'a pas d'argent, mais il est content.	Er hat kein Geld, aber er ist zufrieden.	a1_16
446	Y a t-il une pharmacie ici?	Gibt es hier eine Apotheke?	a1_16
447	J'ai vingt et un ans.	Ich bin einundzwanzig Jahre alt.	a1_17
448	Il a deux enfants.	Er hat zwei Kinder.	a1_17
449	Il y a cinq pommes sur la table.	Es gibt fünf Äpfel auf dem Tisch.	a1_17
450	Cela coûte dix euros.	Das kostet zehn Euro.	a1_17
451	J'ai cent euros.	Ich habe hundert Euro.	a1_17
452	Il est huit heures.	Es ist acht Uhr.	a1_17
453	Le train arrive à neuf heures et demie.	Der Zug kommt um neun Uhr dreißig.	a1_17
454	Je me lève à sept heures.	Ich stehe um sieben Uhr auf.	a1_17
455	Les cours commencent à 8h15.	Die Schule beginnt um acht Uhr fünfzehn.	a1_17
456	Je déjeune à midi.	Ich esse um zwölf Uhr zu Mittag.	a1_17
457	C'est lundi aujourd'hui.	Heute ist Montag.	a1_17
458	Demain, c'est mardi.	Morgen ist Dienstag.	a1_17
459	Je travaille du lundi au vendredi.	Ich arbeite von Montag bis Freitag.	a1_17
460	Je fais la grasse matinée le samedi.	Am Samstag schlafe ich lange.	a1_17
461	Je vais faire une promenade dimanche.	Am Sonntag gehe ich spazieren.	a1_17
462	Aujourd'hui, nous sommes le 1er janvier.	Heute ist der erste Januar.	a1_17
463	Mon anniversaire est le 15 mars.	Mein Geburtstag ist am fünfzehnten März.	a1_17
464	Nous sommes en mai.	Wir haben jetzt Mai.	a1_17
465	L'année compte douze mois.	Das Jahr hat zwölf Monate.	a1_17
466	La semaine compte sept jours.	Die Woche hat sieben Tage.	a1_17
467	Il est trois heures et quart.	Es ist Viertel nach drei.	a1_17
468	Il est cinq heures et demie.	Es ist halb sechs.	a1_17
469	Il est vingt heures moins huit.	Es ist zwanzig vor acht.	a1_17
470	La classe compte trente élèves.	Es sind dreißig Schüler in der Klasse.	a1_17
471	L'avion décolle à deux heures.	Das Flugzeug startet um vierzehn Uhr.	a1_17
472	Il me faut cinquante centimes.	Ich brauche fünfzig Cent.	a1_17
473	Le concert commence à 19h30.	Das Konzert beginnt um neunzehn Uhr dreißig.	a1_17
474	Nous nous rencontrerons le 3 octobre.	Wir treffen uns am dritten Oktober.	a1_17
475	Est-ce que tu me connais?	Kennst du mich?	a1_18
476	Oui, je te connais.	Ja, ich kenne dich.	a1_18
477	Il me voit tous les jours.	Er sieht mich jeden Tag.	a1_18
478	Je le vois aussi.	Ich sehe ihn auch.	a1_18
479	Elle l'aime.	Sie liebt ihn.	a1_18
480	Il l'aime.	Er liebt sie.	a1_18
481	Je t'appellerai.	Ich rufe dich an.	a1_18
482	Tu ne m'appelles pas.	Du rufst mich nicht an.	a1_18
483	Il vient nous rendre visite demain.	Er besucht uns morgen.	a1_18
484	Nous viendrons vous voir la semaine prochaine.	Wir besuchen euch nächste Woche.	a1_18
485	Vous la connaissez ? L'institutrice ?	Kennst du sie? Die Lehrerin?	a1_18
486	Oui, je la connais bien.	Ja, ich kenne sie gut.	a1_18
487	Avez-vous le livre ? J'en ai besoin.	Hast du das Buch? Ich brauche es.	a1_18
488	Je l'ai. Le voici.	Ich habe es. Hier ist es.	a1_18
489	Pouvez-vous nous voir ?	Siehst du uns?	a1_18
490	Oui, je te vois.	Ja, ich sehe euch.	a1_18
491	Il me demande son chemin.	Er fragt mich nach dem Weg.	a1_18
492	Je lui demande son adresse.	Ich frage ihn nach seiner Adresse.	a1_18
493	Elle ne nous connaît pas.	Sie kennt uns nicht.	a1_18
494	Nous ne les connaissons pas non plus.	Wir kennen sie auch nicht.	a1_18
495	L'enfant l'aime bien.	Das Kind mag ihn.	a1_18
496	Il aime ça aussi.	Er mag es auch.	a1_18
497	Pouvez-vous m'aider?	Kannst du mir helfen?	a1_18
498	Je suis heureux de vous aider.	Ich helfe dir gerne.	a1_18
499	Tu nous manques.	Wir vermissen euch.	a1_18
500	Je te verrai demain.	Ich sehe dich morgen.	a1_18
501	Il ne me comprend pas.	Er versteht mich nicht.	a1_18
502	Elle nous appelle.	Sie ruft uns an.	a1_18
503	Voici mon livre.	Das ist mein Buch.	a1_19
504	Voici votre stylo.	Das ist dein Stift.	a1_19
505	Voici sa voiture.	Das ist sein Auto.	a1_19
506	Voici leur maison.	Das ist ihr Haus.	a1_19
507	Voici notre chien.	Das ist unser Hund.	a1_19
508	Voici votre professeur.	Das ist euer Lehrer.	a1_19
509	Voici leur école.	Das ist ihre Schule.	a1_19
510	J'aime ma famille.	Ich liebe meine Familie.	a1_19
511	Il rend visite à ses parents.	Er besucht seine Eltern.	a1_19
512	Elle achète son billet.	Sie kauft ihr Ticket.	a1_19
513	Nous faisons nos devoirs.	Wir machen unsere Hausaufgaben.	a1_19
514	Tu manges ton pain.	Ihr esst euer Brot.	a1_19
515	Ils écrivent leurs noms.	Sie schreiben ihre Namen.	a1_19
516	Mon frère est grand.	Mein Bruder ist groß.	a1_19
517	Ta sœur est gentille.	Deine Schwester ist nett.	a1_19
518	Son père travaille beaucoup.	Sein Vater arbeitet viel.	a1_19
519	Sa mère est enseignante.	Ihre Mutter ist Lehrerin.	a1_19
520	Notre maison est petite mais confortable.	Unser Haus ist klein aber gemütlich.	a1_19
521	Votre voiture est neuve.	Euer Auto ist neu.	a1_19
522	Votre professeur parle clairement et distinctement.	Ihr Lehrer spricht klar und deutlich.	a1_19
523	J'oublie souvent mes clés.	Ich vergesse meinen Schlüssel oft.	a1_19
524	Il cherche son sac à dos.	Er sucht seinen Rucksack.	a1_19
525	Elle ne trouve pas son sac.	Sie findet ihre Tasche nicht.	a1_19
526	Nous avons besoin de notre ordinateur.	Wir brauchen unseren Computer.	a1_19
527	Avez-vous apporté vos livres ?	Habt ihr eure Bücher dabei?	a1_19
528	Ce n'est pas mon manteau, c'est le sien.	Das ist nicht mein Mantel, das ist seiner.	a1_19
529	Je prendrai ma veste.	Ich nehme meine Jacke.	a1_19
530	C'est ton vélo ou le sien ?	Ist das dein Fahrrad oder seins?	a1_19
531	Je viendrai demain.	Ich werde morgen kommen.	a1_20
532	Vous comprendrez.	Du wirst es verstehen.	a1_20
533	Il deviendra médecin.	Er wird Arzt werden.	a1_20
534	Elle deviendra enseignante.	Sie wird Lehrerin werden.	a1_20
535	Nous apprendrons ensemble.	Wir werden zusammen lernen.	a1_20
536	Tu vas y arriver.	Ihr werdet es schaffen.	a1_20
537	Ils vont gagner.	Sie werden gewinnen.	a1_20
538	Il pleuvra demain.	Morgen wird es regnen.	a1_20
539	La semaine prochaine, j'irai à Berlin.	Nächste Woche werde ich nach Berlin fahren.	a1_20
540	Il sera bientôt de retour à la maison.	Er wird bald nach Hause kommen.	a1_20
541	Que ferez-vous?	Was wirst du machen?	a1_20
542	Je vais apprendre l'allemand.	Ich werde Deutsch lernen.	a1_20
543	Nous allons acheter une maison.	Wir werden ein Haus kaufen.	a1_20
544	Elle partira en voyage.	Sie wird eine Reise machen.	a1_20
545	Il va faire froid.	Es wird kalt werden.	a1_20
546	Vous serez fatigué.	Du wirst müde sein.	a1_20
547	Il lira le livre.	Er wird das Buch lesen.	a1_20
548	Nous voyagerons cet été.	Wir werden im Sommer reisen.	a1_20
549	Je ne l'oublierai pas.	Ich werde es nicht vergessen.	a1_20
550	Ils seront à l'heure.	Sie werden pünktlich sein.	a1_20
551	Tu viendras ?	Werdet ihr kommen?	a1_20
552	Il travaillera dur.	Er wird viel arbeiten.	a1_20
553	Que feras-tu demain ?	Was werden Sie morgen machen?	a1_20
554	Je resterai à la maison.	Ich werde zu Hause bleiben.	a1_20
555	Il va faire beau.	Es wird ein schöner Tag werden.	a1_20
556	M'écriras-tu ?	Wirst du mir schreiben?	a1_20
557	Je vais vous expliquer cela.	Das werde ich dir erklären.	a1_20
558	On verra.	Wir werden sehen.	a1_20
559	Stationnement interdit ici !	Hier darf man nicht parken!	assimil_23
560	Tu ne sais pas lire ?	Kannst du nicht lessen?	assimil_23
561	Le panneau indique : Stationnement interdit.	Hier steht: Parken verboten.	assimil_23
562	Hahaha ! Très drôle !	Hahaha! Sehr witzig!	assimil_23
563	Que dois-je faire?	Was soll ich machen?	assimil_23
564	Tout est complètement rempli de voitures garées.	Alles ist vollgeparkt.	assimil_23
565	Ou préférez-vous porter les valises jusqu'ici ?	Oder willst du die Koffer bis hierher tragen?	assimil_23
566	Désolé, vous avez raison.	Sorry, du hast recht.	assimil_23
567	Déchargeons rapidement la voiture.	Lass uns dans schnell das Auto ausladen.	assimil_23
568	avant l'arrivée de la police.	bevor die Polizei kommt.	assimil_23
569	Ce sera assurément génial !	Es wird bestimmt toll	assimil_24
570	Viens avec moi!	Komm doch mit!	assimil_24
571	Nous partons le 30 juin.	Wir fahren am dreissigsten Juni los.	assimil_24
572	Merci, mais je suis trop vieux pour ce genre de choses.	Danke, ich bin aber zu alt fûr sowas.	assimil_24
573	Oh, allez ! Quel âge as-tu, au fait ?	Ach was! Wie alt bist eigentlich?	assimil_24
574	Trente-neuf ans, mais plus maintenant.	Neununddreissig, aber nich mehr lage.	assimil_24
575	J'aurai quarante ans le 2 juillet.	Am zweiten Juli werde ich vierzig	assimil_24
576	Et alors ? On a l'âge qu'on se sent avoir.	Na, und? Man ist son alt, wie man sich fühlt.	assimil_24
577	Bonjour ! Je m’appelle Marie.	Hallo! Mein Name ist Marie.	basic_1
578	J’ai 25 ans et j’habite à Paris, en France.	Ich bin 25 Jahre alt und lebe in Paris, Frankreich.	basic_1
579	Je suis française.	Ich bin ein Franzose.	basic_1
580	Je vis dans un petit appartement avec mon chat.	Ich wohne in einer kleinen Wohnung mit meiner Katze.	basic_1
581	Mon chat s’appelle Minou.	Meine Katze heißt Minou.	basic_1
582	Il est blanc avec des yeux verts.	Er ist weiß mit grünen Augen.	basic_1
583	Il est très gentil, mais parfois il est un peu paresseux.	Er ist sehr nett, aber manchmal ein bisschen faul.	basic_1
584	Il aime dormir toute la journée sur le canapé ou près de la fenêtre.	Er schläft am liebsten den ganzen Tag auf dem Sofa oder in der Nähe des Fensters.	basic_1
585	Mon appartement est petit mais confortable.	Meine Wohnung ist klein, aber gemütlich.	basic_1
586	Il y a une chambre, une cuisine, une salle de bain et un salon.	Es gibt ein Schlafzimmer, eine Küche, ein Badezimmer und ein Wohnzimmer.	basic_1
587	Dans le salon, il y a un canapé, une table et une télévision.	Im Wohnzimmer befinden sich ein Sofa, ein Tisch und ein Fernseher.	basic_1
588	Dans la cuisine, il y a un frigo, un four et une petite table.	In der Küche befinden sich ein Kühlschrank, ein Backofen und ein kleiner Tisch.	basic_1
589	J’aime mon appartement parce qu’il est calme et lumineux.	Ich mag meine Wohnung, weil sie ruhig und hell ist.	basic_1
590	Je travaille dans un café qui s’appelle “Le Bon Café”.	Ich arbeite in einem Café namens „Le Bon Café“.	basic_1
591	Le café est près de chez moi.	Das Café ist in der Nähe meines Hauses.	basic_1
592	Je marche environ dix minutes pour aller au travail.	Ich brauche etwa zehn Minuten zu Fuß zur Arbeit.	basic_1
593	J’aime mon travail parce que j’aime parler avec les gens.	Ich liebe meinen Job, weil ich gerne mit Menschen rede.	basic_1
594	Je vois beaucoup de clients chaque jour.	Ich sehe jeden Tag viele Kunden.	basic_1
595	Certains clients viennent tous les jours.	Manche Kunden kommen jeden Tag.	basic_1
596	Je connais leurs habitudes.	Ich kenne ihre Gewohnheiten.	basic_1
597	Par exemple, Monsieur Dupont prend toujours un café noir sans sucre.	Herr Dupont trinkt beispielsweise immer schwarzen Kaffee ohne Zucker.	basic_1
598	Madame Martin aime le thé avec du lait.	Frau Martin trinkt ihren Tee gern mit Milch.	basic_1
599	Le matin, je me lève à 7 heures.	Morgens stehe ich um 7 Uhr auf.	basic_1
600	Parfois, je suis fatiguée, mais je me lève vite.	Manchmal bin ich müde, aber ich stehe schnell wieder auf.	basic_1
601	Je vais dans la salle de bain.	Ich gehe auf die Toilette.	basic_1
602	Je prends une douche et je me brosse les dents.	Ich dusche und putze mir die Zähne.	basic_1
603	Ensuite, je m’habille.	Dann ziehe ich mich an.	basic_1
604	Je choisis des vêtements simples : un jean, un t-shirt et des chaussures confortables.	Ich wähle einfache Kleidung: Jeans, ein T-Shirt und bequeme Schuhe.	basic_1
605	Après, je prends mon petit déjeuner.	Anschließend frühstücke ich.	basic_1
606	Je mange du pain avec du beurre et de la confiture.	Ich esse Brot mit Butter und Marmelade.	basic_1
607	Parfois, je mange un croissant.	Manchmal esse ich ein Croissant.	basic_1
608	Je bois du café ou du thé.	Ich trinke Kaffee oder Tee.	basic_1
609	Mon chat est toujours avec moi dans la cuisine.	Meine Katze ist immer bei mir in der Küche.	basic_1
610	Il regarde ma nourriture, mais je ne lui donne pas de croissant.	Er schaut auf mein Essen, aber ich gebe ihm kein Croissant.	basic_1
611	À 8 heures, je quitte mon appartement.	Um 8 Uhr verlasse ich meine Wohnung.	basic_1
612	Je ferme la porte et je descends les escaliers.	Ich schließe die Tür und gehe die Treppe hinunter.	basic_1
613	Dans la rue, il y a déjà beaucoup de monde.	Es sind bereits viele Menschen auf der Straße.	basic_1
614	Les gens vont au travail.	Die Menschen gehen zur Arbeit.	basic_1
615	Il y a des voitures, des bus et des vélos.	Es gibt Autos, Busse und Fahrräder.	basic_1
616	J’aime marcher le matin parce que l’air est frais.	Ich gehe gerne morgens spazieren, weil die Luft dann frisch ist.	basic_1
617	J’arrive au café à 8h15.	Ich komme um 8:15 Uhr im Café an.	basic_1
618	Je dis bonjour à mes collègues.	Ich grüße meine Kollegen.	basic_1
619	Nous préparons le café pour la journée.	Wir bereiten den Kaffee für heute zu.	basic_1
620	Nous nettoyons les tables et nous préparons les tasses.	Wir reinigen die Tische und bereiten die Tassen vor.	basic_1
621	À 8h30, le café ouvre.	Das Café öffnet um 8:30 Uhr.	basic_1
622	Je travaille avec deux collègues.	Ich arbeite mit zwei Kollegen zusammen.	basic_1
623	Ils s’appellent Paul et Sophie.	Sie heißen Paul und Sophie.	basic_1
624	Paul est grand et il a les cheveux bruns.	Paul ist groß und hat braune Haare.	basic_1
625	Il est très drôle.	Er ist sehr witzig.	basic_1
626	Il fait souvent des blagues.	Er macht oft Witze.	basic_1
627	Sophie est petite et elle a les cheveux blonds.	Sophie ist klein und hat blonde Haare.	basic_1
628	Elle est très gentille et organisée.	Sie ist sehr freundlich und organisiert.	basic_1
629	Nous travaillons bien ensemble.	Wir arbeiten gut zusammen.	basic_1
630	Pendant la matinée, il y a beaucoup de clients.	Morgens sind viele Kunden da.	basic_1
631	Je prends les commandes, je prépare les boissons et je donne les cafés aux clients.	Ich nehme Bestellungen entgegen, bereite Getränke zu und serviere Kaffee an die Kunden.	basic_1
632	Je dis toujours “bonjour” et “merci”.	Ich sage immer „Hallo“ und „Danke“.	basic_1
633	J’aime être polie avec les gens.	Ich bin gerne höflich zu anderen Menschen.	basic_1
634	Parfois, il y a des touristes.	Manchmal sind Touristen da.	basic_1
635	Ils parlent anglais ou une autre langue.	Sie sprechen Englisch oder eine andere Sprache.	basic_1
636	Je parle un peu anglais, donc je peux aider.	Ich spreche ein bisschen Englisch, daher kann ich helfen.	basic_1
637	Les touristes aiment Paris.	Touristen lieben Paris.	basic_1
638	Ils prennent beaucoup de photos.	Sie machen viele Fotos.	basic_1
639	À midi, je prends une pause.	Mittags mache ich Pause.	basic_1
640	Je suis souvent fatiguée, mais contente.	Ich bin oft müde, aber glücklich.	basic_1
641	Je mange un sandwich ou une salade.	Ich esse ein Sandwich oder einen Salat.	basic_1
642	Je bois de l’eau ou un jus d’orange.	Ich trinke Wasser oder Orangensaft.	basic_1
643	Je m’assois avec Paul et Sophie.	Ich setze mich zu Paul und Sophie.	basic_1
644	Nous parlons de notre journée, de nos amis et de nos plans pour le week-end.	Wir unterhalten uns über unseren Tag, unsere Freunde und unsere Pläne fürs Wochenende.	basic_1
645	Après la pause, je retourne au travail.	Nach der Pause gehe ich wieder an die Arbeit.	basic_1
646	L’après-midi est plus calme.	Der Nachmittag ist ruhiger.	basic_1
647	Il y a moins de clients.	Es gibt weniger Kunden.	basic_1
648	Je nettoie les tables, je range la cuisine et je prépare des gâteaux.	Ich putze die Tische, ich räume die Küche auf und ich backe Kuchen.	basic_1
649	J’aime préparer des gâteaux.	Ich backe gerne Kuchen.	basic_1
650	C’est simple et amusant.	Es ist einfach und macht Spaß.	basic_1
651	Je finis le travail à 17 heures.	Ich habe um 17 Uhr Feierabend.	basic_1
652	Je dis au revoir à mes collègues et je quitte le café.	Ich verabschiede mich von meinen Kollegen und verlasse das Café.	basic_1
653	Je marche jusqu’à mon appartement.	Ich gehe zu meiner Wohnung.	basic_1
654	Parfois, je passe au supermarché pour acheter de la nourriture.	Manchmal gehe ich in den Supermarkt, um Lebensmittel einzukaufen.	basic_1
655	Au supermarché, j’achète des légumes, du pain, du lait et des fruits.	Im Supermarkt kaufe ich Gemüse, Brot, Milch und Obst.	basic_1
656	J’aime les pommes, les bananes et les oranges.	Ich mag Äpfel, Bananen und Orangen.	basic_1
657	Je n’achète pas beaucoup de choses parce que mon appartement est petit.	Ich kaufe nicht viele Dinge, weil meine Wohnung klein ist.	basic_1
658	Quand je rentre à la maison, mon chat vient me voir.	Wenn ich nach Hause komme, kommt meine Katze, um mich zu begrüßen.	basic_1
659	Il est content.	Er ist glücklich.	basic_1
660	Je joue un peu avec lui.	Ich necke ihn ein bisschen.	basic_1
661	Ensuite, je me repose sur le canapé.	Dann entspanne ich mich auf dem Sofa.	basic_1
662	Le soir, je prépare le dîner.	Am Abend bereite ich das Abendessen zu.	basic_1
663	Je cuisine des choses simples.	Ich koche einfache Gerichte.	basic_1
664	Je fais des pâtes, du riz ou des légumes.	Ich koche Nudeln, Reis oder Gemüse.	basic_1
665	Parfois, je cuisine du poulet ou du poisson.	Manchmal koche ich Hähnchen oder Fisch.	basic_1
666	J’aime manger sainement.	Ich ernähre mich gerne gesund.	basic_1
667	Après le dîner, je lave la vaisselle.	Nach dem Abendessen spüle ich das Geschirr.	basic_1
668	Je n’aime pas ça, mais c’est nécessaire.	Ich mag es nicht, aber es ist notwendig.	basic_1
669	Ensuite, je regarde la télévision.	Dann schaue ich fern.	basic_1
670	J’aime les films et les séries simples.	Ich mag einfache Filme und Serien.	basic_1
671	Parfois, je lis un livre.	Manchmal lese ich ein Buch.	basic_1
672	J’aime les histoires courtes.	Ich mag Kurzgeschichten.	basic_1
673	J’écoute aussi de la musique.	Ich höre auch Musik.	basic_1
674	J’aime la musique française.	Ich mag französische Musik.	basic_1
675	Je chante parfois dans mon salon.	Ich singe manchmal in meinem Wohnzimmer.	basic_1
676	Mon chat me regarde, mais il ne chante pas avec moi.	Meine Katze schaut mich an, aber sie singt nicht mit.	basic_1
677	Le week-end, je ne travaille pas.	Ich arbeite nicht am Wochenende.	basic_1
678	Le samedi, je me lève plus tard.	Samstags stehe ich später auf.	basic_1
679	Je prends un bon petit déjeuner.	Ich frühstücke gerade ausgiebig.	basic_1
680	Je bois du café et je mange des croissants.	Ich trinke Kaffee und esse Croissants.	basic_1
681	Le samedi, je vois mes amis.	Samstags treffe ich meine Freunde.	basic_1
682	J’ai trois bons amis : Julie, Marc et Anna.	Ich habe drei gute Freunde: Julie, Marc und Anna.	basic_1
683	Nous aimons passer du temps ensemble.	Wir genießen es, Zeit miteinander zu verbringen.	basic_1
684	Nous allons au parc quand il fait beau.	Wir gehen in den Park, wenn das Wetter schön ist.	basic_1
685	Nous marchons, nous parlons et nous rions.	Wir gehen, wir unterhalten uns und wir lachen.	basic_1
686	Parfois, nous allons au cinéma.	Manchmal gehen wir ins Kino.	basic_1
687	Nous regardons un film et nous mangeons du popcorn.	Wir schauen einen Film und essen Popcorn.	basic_1
688	J’aime les films comiques et romantiques.	Ich mag Komödien und romantische Filme.	basic_1
689	Le soir, nous allons au restaurant.	Am Abend gehen wir in ein Restaurant.	basic_1
690	Nous mangeons des pizzas, des salades ou des plats français.	Wir essen Pizza, Salate oder französische Gerichte.	basic_1
691	Nous parlons beaucoup.	Wir reden viel.	basic_1
692	C’est un moment agréable.	Es ist ein angenehmer Moment.	basic_1
693	Le dimanche, je reste souvent à la maison.	Sonntags bleibe ich oft zu Hause.	basic_1
694	Je me repose.	Ich ruhe mich aus.	basic_1
695	Je nettoie mon appartement.	Ich putze meine Wohnung.	basic_1
696	Je fais le ménage : je passe l’aspirateur, je nettoie la cuisine et la salle de bain.	Ich erledige die Hausarbeit: Ich sauge Staub, putze die Küche und das Badezimmer.	basic_1
697	Je fais aussi la lessive.	Ich wasche auch die Wäsche.	basic_1
698	Je lave mes vêtements et je les sèche.	Ich wasche meine Wäsche und trockne sie.	basic_1
699	Ce n’est pas amusant, mais c’est important.	Es macht keinen Spaß, aber es ist wichtig.	basic_1
700	L’après-midi, je prends un café et je lis un livre.	Am Nachmittag trinke ich einen Kaffee und lese ein Buch.	basic_1
701	Parfois, je téléphone à ma famille.	Manchmal rufe ich meine Familie an.	basic_1
702	Mes parents habitent dans une autre ville.	Meine Eltern leben in einer anderen Stadt.	basic_1
703	Je parle avec eux chaque semaine.	Ich spreche jede Woche mit ihnen.	basic_1
704	J’aime ma vie à Paris.	Ich liebe mein Leben in Paris.	basic_1
705	C’est une grande ville avec beaucoup de choses à faire.	Es ist eine große Stadt mit vielen Freizeitmöglichkeiten.	basic_1
706	Il y a des musées, des parcs, des magasins et des restaurants.	Es gibt Museen, Parks, Geschäfte und Restaurants.	basic_1
707	Parfois, je me promène dans la ville.	Manchmal mache ich einen Spaziergang durch die Stadt.	basic_1
708	Je marche dans les rues et je regarde les bâtiments.	Ich gehe durch die Straßen und betrachte die Gebäude.	basic_1
709	J’aime voir les touristes et entendre différentes langues.	Ich freue mich, Touristen zu sehen und verschiedene Sprachen zu hören.	basic_1
710	Je rêve aussi de voyager.	Ich träume auch vom Reisen.	basic_1
711	Je veux visiter d’autres pays.	Ich möchte andere Länder besuchen.	basic_1
712	Par exemple, je veux aller en Espagne, en Italie et en Allemagne.	Ich möchte zum Beispiel nach Spanien, Italien und Deutschland reisen.	basic_1
713	J’aime découvrir de nouvelles cultures.	Ich genieße es, neue Kulturen zu entdecken.	basic_1
714	Mais pour le moment, je suis contente de ma vie.	Aber im Moment bin ich zufrieden mit meinem Leben.	basic_1
715	J’ai un travail, un appartement, des amis et un chat.	Ich habe einen Job, eine Wohnung, Freunde und eine Katze.	basic_1
716	C’est une vie simple, mais heureuse.	Es ist ein einfaches, aber glückliches Leben.	basic_1
717	Chaque jour est un peu différent, mais j’aime ma routine.	Jeder Tag ist ein bisschen anders, aber ich mag meine Routine.	basic_1
718	Je travaille, je mange, je parle avec les gens et je me repose.	Ich arbeite, ich esse, ich unterhalte mich mit Leuten und ich ruhe mich aus.	basic_1
719	Je pense que la vie est belle quand on apprécie les petites choses : un bon café, un sourire, un moment avec des amis.	Ich finde, das Leben ist schön, wenn man die kleinen Dinge zu schätzen weiß: einen guten Kaffee, ein Lächeln, einen Moment mit Freunden.	basic_1
720	Et toi, quelle est ta vie ?	Und du, wie sieht dein Leben aus?	basic_1
721	Lorsque j’avais six ans j’ai vu, une fois, une magnifique image, dans un livre sur la forêt vierge qui s’appelait Histoires vécues.	Als ich sechs Jahre alt war, sah ich einmal ein großartiges Bild in einem Buch über den Regenwald mit dem Titel „Wahre Geschichten“.	le_petit_prince_1
722	Ça représentait un serpent boa qui avalait un fauve.	Es zeigte eine Boa Constrictor, die ein wildes Tier verschlang.	le_petit_prince_1
723	Voilà la copie du dessin.	Hier ist eine Kopie der Zeichnung.	le_petit_prince_1
724	On disait dans le livre :	Im Buch stand:	le_petit_prince_1
725	Les serpents boas avalent leur proie tout entière, sans la mâcher.	Boas verschlingen ihre Beute im Ganzen, ohne sie zu zerkauen.	le_petit_prince_1
